objectid,title,format,filename,subject,illustrator,painter,engraver,description,extent,date,publisher,location,latitude,longitude,identifier,platenumber
item13,Book I,image/jpeg,B303V1F75.jpg,,,H. Fuseli R.A.,JasNeagle,,"1 print: engraving ; image 116 x 90 mm., on sheet 227 x 140 mm",1802-07-01,F.J. Du Roveray,London,51.50987,-0.11809,B303 V.1 Mitlon ARCSPE,F75
item14,Book VI,image/jpeg,B303V1F125.jpg,,,H. Fuseli R.A.,C. Warren,,"1 print: engraving ; image 117 x 90 mm., on sheet 227 x 140 mm",1802-07-01,F.J. Du Roveray,London,51.50987,-0.11809,B303 V.1 Mitlon ARCSPE,F125
item15,Book IV,image/jpeg,B303V1F165.jpg,,,H. Fuseli R.A.,A. Smith A.,,"1 print: engraving ; image 120 x 90 mm., on sheet 227 x 140 mm",1802-07-01,F.J. Du Roveray,London,51.50987,-0.11809,B303 V.1 Mitlon ARCSPE,F165
item16,Book V,image/jpeg,B303V1F179.jpg,,W. Hamilton R.A.,,F. Bartolozzi R.A.,,"1 print: engraving ; image 120 x 90 mm., on sheet 227 x 140 mm",1802-07-01,F.J. Du Roveray,London,51.50987,-0.11809,B303 V.1 Mitlon ARCSPE,F179
item17,Book VI,image/jpeg,B303V1F262.jpg,,,H. Fuseli R.A.,C. Warren,,"1 print: engraving ; image 117 x 90 mm., on sheet 227 x 140 mm",1802-07-01,F.J. Du Roveray,London,51.50987,-0.11809,B303 V.1 Mitlon ARCSPE,F262
item18,Book VII,image/jpeg,B303V2F5.jpg,,W. Hamilton R.A,,Jas. Fittler A.,,"1 print: engraving ; image 114 x 86 mm., on sheet 227 x 140 mm",1802-07-01,F.J. Du Roveray,London,51.50987,-0.11809,Mitlon B303 V.2 ARCSPE,F5
item19,Book VIII,image/jpeg,B303V2F56.jpg,,W. Hamilton R.A,,F. Bartolozzi R.A.,,"1 print: engraving ; image 117 x 89 mm., on sheet 227 x 140 mm",1802-07-01,F.J. Du Roveray,London,51.50987,-0.11809,Mitlon B303 V.2 ARCSPE,F56
item20,Book IX,image/jpeg,B303V2F102.jpg,,W. Hamilton R.A,,F. Bartolozzi R.A.,,"1 print: engraving ; image 115x 88 mm., on sheet 227 x 140 mm",1802-07-01,F.J. Du Roveray,London,51.50987,-0.11809,Mitlon B303 V.2 ARCSPE,F102
item21,Book X,image/jpeg,B303V2F172.jpg,,W. Hamilton R.A,,Jas. Fittler A.,,"1 print: engraving ; image 114 x 86 mm., on sheet 227 x 140 mm",1802-07-01,F.J. Du Roveray,London,51.50987,-0.11809,Mitlon B303 V.2 ARCSPE,F172
item22,Book XI,image/jpeg,B303V2F185.jpg,,W. Hamilton R.A,,R. Rhodes,,"1 print: engraving ; image 114 x 88 mm., on sheet 227 x 140 mm",1802-07-01,F.J. Du Roveray,London,51.50987,-0.11809,Mitlon B303 V.2 ARCSPE,F185
item23,Book XII,image/jpeg,B303V2F250.jpg,,,H. Fuseli R.A.,A. Smith A.,,"1 print: engraving ; image 119 x 91 mm., on sheet 227 x 140 mm",1802-07-01,F.J. Du Roveray,London,51.50987,-0.11809,Mitlon B303 V.2 ARCSPE,F250
item24,"Book I, 314-334",image/jpeg,C28F12.jpg,Satan; Legions,,,William Blake,Satan Calling up His Legions,"1 print: engraving ; image 143x 120 mm., on sheet 251 x 190 mm",1906,"The Liverpool Booksellers' Co., Limited & Printed at the Lyceum Press",Liverpool,53.4,-2.98333,ARCSPE C28,F12
item25,"Book II, 648-676",image/jpeg,C28F54.jpg,Satan; Hell,,,William Blake,"Satan, Sins, and Death at the Gates of Hell","1 print: engraving ; image 147x 120 mm., on sheet 251 x 190 mm",1906,"The Liverpool Booksellers' Co., Limited & Printed at the Lyceum Press",Liverpool,53.4,-2.98333,ARCSPE C28,F54
item26,"Book IV, 492-511",image/jpeg,C28F116.jpg,Satan; Adam; Eve,,,William Blake,Satan Watching the Endearments of Adam and Eve,"1 print: engraving ; image 152x 120 mm., on sheet 251 x 190 mm",1906,"The Liverpool Booksellers' Co., Limited & Printed at the Lyceum Press",Liverpool,53.4,-2.98333,ARCSPE C28,F116
item27,"Book V, 219-233",image/jpeg,C28F144.jpg,Raphael; Adam; Eve,,,William Blake,Descent of Raphael to Warn Adam of Satan's Entrance into Paradise,"1 print: engraving ; image 151x 120 mm., on sheet 251 x 190 mm",1906,"The Liverpool Booksellers' Co., Limited & Printed at the Lyceum Press",Liverpool,53.40001,-2.98333,ARCSPE C28,F144
item28,"Book V, 371-395",image/jpeg,C28F150.jpg,Raphael; Adam; Eve,,,William Blake,Raphael Conversing with Adam and Eve,"1 print: engraving ; image 151x 120 mm., on sheet 251 x 190 mm",1906,"The Liverpool Booksellers' Co., Limited & Printed at the Lyceum Press",Liverpool,53.40001,-2.98333,ARCSPE C28,F150
item29,"Book VI, 824-877",image/jpeg,C28F200.jpg,God; Rebel Angels; Hell,,,William Blake,God the Son Casting the Rebel Angels into Hell,"1 print: engraving ; image 151x 120 mm., on sheet 251 x 190 mm",1906,"The Liverpool Booksellers' Co., Limited & Printed at the Lyceum Press",Liverpool,53.40001,-2.98333,ARCSPE C28,F200
item30,"Book VIII, 470-477",image/jpeg,C28F246.jpg,Eve,,,William Blake,The Creation of Eve,"1 print: engraving ; image 152x 120 mm., on sheet 251 x 190 mm",1906,"The Liverpool Booksellers' Co., Limited & Printed at the Lyceum Press",Liverpool,53.40001,-2.98333,ARCSPE C28,F246
item31,"Book IX, 867-874",image/jpeg,C28F284.jpg,Eve; Forbidden Fruit,,,William Blake,Eve Eating the Forbidden Fruit,"1 print: engraving ; image 149x 120 mm., on sheet 251 x 190 mm",1906,"The Liverpool Booksellers' Co., Limited & Printed at the Lyceum Press",Liverpool,53.40001,-2.98333,ARCSPE C28,F284
item32,"Book X, 96-114",image/jpeg,C28F300.jpg,Adam; Eve,,,William Blake,The Judgment of Adam and Eve,"1 print: engraving ; image 152x 120 mm., on sheet 251 x 190 mm",1906,"The Liverpool Booksellers' Co., Limited & Printed at the Lyceum Press",Liverpool,53.40001,-2.98333,ARCSPE C28,F300
item33,"Book XII, 411-431",image/jpeg,C28F388.jpg,Michael; Adam,,,William Blake,Michael Foretelling the Crucifixion to Adam,"1 print: engraving ; image 152x 120 mm., on sheet 251 x 190 mm",1906,"The Liverpool Booksellers' Co., Limited & Printed at the Lyceum Press",Liverpool,53.40001,-2.98333,ARCSPE C28,F388
item34,"Book XII, 632-644",image/jpeg,C28F396.jpg,Michael; Adam; Eve,,,William Blake,Adam and Eve Led by Michael out of Paradise,"1 print: engraving ; image 151x 120 mm., on sheet 251 x 190 mm",1906,"The Liverpool Booksellers' Co., Limited & Printed at the Lyceum Press",Liverpool,53.40001,-2.98333,ARCSPE C28,F396
item35,,image/jpeg,C30V1F274.jpg,,Lud. Cheron,,Sam Gribelin Jun[ior],,"1 print: engraving ; image 170x 90 mm., on sheet 296 x 230 mm",1720,Printed for Jacob Tonson at Shakespear's Head at the Strand,"Strand, London",51.51123,-0.11947,ARCSPO C30 V1,F274
item36,,image/jpeg,C30V1F304.jpg,,Lud. Cheron,,Sam Gribelin Jun[ior],,"1 print: engraving ; image 160x 113 mm., on sheet 296 x 230 mm",1720,Printed for Jacob Tonson at Shakespear's Head at the Strand,"Strand, London",51.51123,-0.11947,ARCSPO C30 V1,F304
item37,,image/jpeg,C30V1F454.jpg,,Lud. Cheron,,G. Ver Gucht,,"1 print: engraving ; image 185x 90 mm., on sheet 296 x 230 mm",1720,Printed for Jacob Tonson at Shakespear's Head at the Strand,"Strand, London",51.51123,-0.11947,ARCSPO C30 V1,F454
item38,,image/jpeg,C30V1F496.jpg,,Lud. Cheron,,G. Ver Gucht,,"1 print: engraving ; image 145x 106 mm., on sheet 296 x 230 mm",1720,Printed for Jacob Tonson at Shakespear's Head at the Strand,"Strand, London",51.51123,-0.11947,ARCSPO C30 V1,F496
item39,Book 1. Line 315,image/jpeg,C55V1F6.jpg,,R. Westall R.A.,,F.P. Simon,,"1 print: engraving ; image 22H x 16 cm., on sheet 41.5H X 32.5W cm",1794-06-04,"J.&J. Boydel. & G. Nicol, Shakespeare Gallery","Pall Mall, & N. 90 Cheapside (London)",51.50664,-0.13433,Milton C55 Vol. 1,F6
item40,Book 2 Line 752,image/jpeg,C55V1F37.jpg,,R. Westall R.A.,,F.P. Simon,,"1 print: engraving ; image 22.3 x 16 cm., on sheet 41.5H X 32.5W cm",1794-06-04,"J.&J. Boydel. & G. Nicol, Shakespeare Gallery","Pall Mall, & N. 90 Cheapside (London)",51.50664,-0.13433,Milton C55 Vol. 1,F37
item41,Book 3 Line 260,image/jpeg,C55V1F77.jpg,,R. Westall R.A.,,F.P. Simon,,"1 print: engraving ; image 22.5 x 15.5 cm,on sheet 41.5H X 32.5W cm",1794-06-04,"J.&J. Boydel. & G. Nicol, Shakespeare Gallery","Pall Mall, & N. 90 Cheapside (London)",51.50664,-0.13433,Milton C55 Vol. 1,F77
item42,Book 4 Line 985,image/jpeg,C55V1F107.jpg,,R. Westall R.A.,,F.P. Simon,,"1 print: engraving ; image 22.3 x 16 cm., on sheet 41.5H X 32.5W cm",1794-06-04,"J.&J. Boydel. & G. Nicol, Shakespeare Gallery","Pall Mall, & N. 90 Cheapside (London)",51.50664,-0.13433,Milton C55 Vol. 1,F107
item43,Book 5 Line 11,image/jpeg,C55V1F147.jpg,,R. Westall R.A.,,R. Earlom,,"1 print: engraving ; image 22x 15.5 cm., on sheet 41.5H X 32.5W cm",1794-06-04,"J.&J. Boydel. & G. Nicol, Shakespeare Gallery","Pall Mall, & N. 90 Cheapside (London)",51.50664,-0.13433,Milton C55 Vol. 1,F147
item44,Book 6 Line 834,image/jpeg,C55V1F183.jpg,,R. Westall R.A.,,L. Schiavonelli,,"1 print: engraving ; image 22.5 x 15.5 cm., on sheet 41.5H X 32.5W cm",1794-06-04,"J.&J. Boydel. & G. Nicol, Shakespeare Gallery","Pall Mall, & N. 90 Cheapside (London)",51.50664,-0.13433,Milton C55 Vol. 1,F183
item45,Book 7 Line 535,image/jpeg,C55V2F5.jpg,,R. Westall R.A.,,Thos. Kirk,,"1 print: engraving ; image 22.5 x 15.5 cm,on sheet 41.5H X 32.5W cm",1795-06-04,"J.&J. Boydel. & G. Nicol, Shakespeare Gallery","Pall Mall, & N. 90 Cheapside (London)",51.50664,-0.13433,Milton C55 Vol. 2,F5
item46,Book 8 Line 44,image/jpeg,C55V2F31.jpg,,R. Westall R.A.,,Rich Earlom,,"1 print: engraving ; image 22.5 x 15.5 cm,on sheet 41.5H X 32.5W cm",1795-06-04,"J.&J. Boydel. & G. Nicol, Shakespeare Gallery","Pall Mall, & N. 90 Cheapside (London)",51.50664,-0.13433,Milton C55 Vol. 2,F31
item47,Book 9 Line 888,image/jpeg,C55V2F59.jpg,,R. Westall R.A.,,Thos. Kirk,,"1 print: engraving ; image 22.5 x 15.5 cm,on sheet 41.5H X 32.5W cm",1795-06-04,"J.&J. Boydel. & G. Nicol, Shakespeare Gallery","Pall Mall, & N. 90 Cheapside (London)",51.50664,-0.13433,Milton C55 Vol. 2,F59
item48,Book 10 Line 272,image/jpeg,C55V2F103.jpg,,R. Westall R.A.,,J. Ogborne,,"1 print: engraving ; image 23 x 16 cm,on sheet 41.5H X 32.5W cm",1795-06-04,"J.&J. Boydel. & G. Nicol, Shakespeare Gallery","Pall Mall, & N. 90 Cheapside (London)",51.50664,-0.13433,Milton C55 Vol. 2,F103
item49,Book 11 Line 652,image/jpeg,C55V2F145.jpg,,R. Westall R.A.,,J. Ogborne,,"1 print: engraving ; image 22.5 x 16 cm,on sheet 41.5H X 32.5W cm",1795-06-04,"J.&J. Boydel. & G. Nicol, Shakespeare Gallery","Pall Mall, & N. 90 Cheapside (London)",51.50664,-0.13433,Milton C55 Vol. 2,F145
item50,Book 12 Line 640,image/jpeg,C55V2F181.jpg,,R. Westall R.A.,,B. Smith,,"1 print: engraving ; image 22 x 15.5 cm,on sheet 41.5H X 32.5W cm",1795-06-04,"J.&J. Boydel. & G. Nicol, Shakespeare Gallery","Pall Mall, & N. 90 Cheapside (London)",51.50664,-0.13433,Milton C55 Vol. 2,F181
item51,Book 4 Line 560,image/jpeg,C55V2F265.jpg,,R. Westall R.A.,,B. Smith,,"1 print: engraving ; image 22 x 15.5 cm,on sheet 41.5H X 32.5W cm",1795-06-04,"J.&J. Boydel. & G. Nicol, Shakespeare Gallery","Pall Mall, & N. 90 Cheapside (London)",51.50664,-0.13433,Milton C55 Vol. 2,F265
item52,,image/jpeg,PR3551.B841862F165.jpg,Rebel Angels,J.M.W. Turner R.A,,E. Goodall,The Fall of the Rebel Angels,"1 print: engraving ; image 120 x 93 mm., on sheet 213 x 135 mm",1862,William Tegg,Pancras Lane,51.51332,-0.09193,ARCSPE PR 3551.B84 1862,F165
item53,,image/jpeg,PR35601749F164.jpg,,,,,,"1 print: engraving ; image 170 x 91 mm., on sheet 179 x 108 mm",1749,,,,,Milton PR 3560 1749 ARCSPE,F164
item54,,image/jpeg,PR35601749F297.jpg,,,,,,"1 print: engraving ; image 166 x 86 mm., on sheet 179 x 108 mm",1749,,,,,Milton PR 3560 1749 ARCSPE,F297
item55,Book 1.,image/jpeg,PR35601749bF2.jpg,,F. Hayman,,S.F. Ravenet,,"1 print: engraving ; image 212x 172 mm., on sheet 281 x 220 mm",1749,G. Grierson,Dublin,53.35014,-6.26616,PR3560 1749b,F2
item56,Book 2.,image/jpeg,PR35601749bF78.jpg,,F. Hayman,,C. Grignion,,"1 print: engraving ; image 212x 170 mm., on sheet 281 x 220 mm",1749,G. Grierson,Dublin,53.35014,-6.26616,PR3560 1749b,F78
item57,Book 3.,image/jpeg,PR35601749bF162.jpg,,Hayman,,Ravenet,,"1 print: engraving ; image 213x 170 mm., on sheet 281 x 220 mm",1749,G. Grierson,Dublin,53.35014,-6.26616,PR3560 1749b,F162
item58,Book 4.,image/jpeg,PR35601749bF226.jpg,,F. Hayman,,C. Grignion,,"1 print: engraving ; image 212x 169 mm., on sheet 281 x 220 mm",1749,J.and R. Tonson,London,51.50987,-0.11809,PR3560 1749b,F226
item59,Book 5.,image/jpeg,PR35601749bF310.jpg,,F. Hayman,,C. Grignion,,"1 print: engraving ; image 212x 170 mm., on sheet 281 x 220 mm",1749,J.and R. Tonson,London,51.50987,-0.11809,PR3560 1749b,F310
item60,Book 6.,image/jpeg,PR35601749bF384.jpg,,F. Hayman,,C. Grignion,,"1 print: engraving ; image 216x 169 mm., on sheet 281 x 220 mm",1749,J.and R. Tonson,London,51.50987,-0.11809,PR3560 1749b,F384
item61,Book 7.,image/jpeg,PR35601749bV2F4.jpg,,Hayman,,Ravenet,,"1 print: engraving ; image 211 x 169 mm., on sheet 280 x 220 mm",1749,J.and R. Tonson,London,51.50987,-0.11809,PR3560 1749b,F4
item62,Book 8.,image/jpeg,PR35601749bV2F64.jpg,,F. Hayman,,C. Grignion,,"1 print: engraving ; image 211 x 169 mm., on sheet 280 x 220 mm",1749,J.and R. Tonson,London,51.50987,-0.11809,PR3560 1749b,F64
item63,Book 9.,image/jpeg,PR35601749bV2F118.jpg,,F. Hayman,,C. Grignion,,"1 print: engraving ; image 211 x 169 mm., on sheet 280 x 220 mm",1749,J.and R. Tonson,London,51.50987,-0.11809,PR3560 1749b,F118
item64,Book 10.,image/jpeg,PR35601749bV2F212.jpg,,F. Hayman,,C. Grignion,,"1 print: engraving ; image 211 x 168 mm., on sheet 280 x 220 mm",1749,J.and R. Tonson,London,51.50987,-0.11809,PR3560 1749b,F212
item65,Book 11.,image/jpeg,PR35601749bV2F302.jpg,,F. Hayman,,C. Grignion,,"1 print: engraving ; image 211 x 169 mm., on sheet 280 x 220 mm",1749,J.and R. Tonson,London,51.50987,-0.11809,PR3560 1749b,F302
item66,Book 12.,image/jpeg,PR35691749bV2F378.jpg,,Hayman,,Ravenet,,"1 print: engraving ; image 211 x 169 mm., on sheet 280 x 220 mm",1749,J.and R. Tonson,London,51.50987,-0.11809,PR3560 1749b,F378
item67,Book I L. 221,image/jpeg,PR35601796F10.jpg,,Corbould,,White,"Forthwith upright he rears from off the pool, His might stature.","1 print: engraving ; image 160 x 104 mm., on sheet 249 x 156 mm",1795-03-01,Printed for J. Parsons,21 Pasternoster Row,51.5147,-0.09831,PR 3560.1796,F10
item68,Book VIII L 484,image/jpeg,PR35601796F19.jpg,Eve; Adam,Corbould,,White,"on she came, Led by her heavenly Maker","1 print: engraving ; image 168 x 109 mm., on sheet 249 x 156 mm",1795-04-01,Printed for J. Parsons,21 Pasternoster Row,51.5147,-0.09831,PR 3560.1796,F19
item69,Book IX L 892,image/jpeg,PR35601796F59.jpg,Eve; Adam,Corbould,,White,"From his slack hand, the garland wreath'd for Eve, Down dropp'd, and all the faded roses shed.","1 print: engraving ; image 169 x 112 mm., on sheet 249 x 156 mm",1795-08-01,Printed for J. Parsons,21 Pasternoster Row,51.5147,-0.09831,PR 3560.1796,F59
item70,Book X L 109,image/jpeg,PR35601796F77.jpg,Eve; Adam; God,Corbould,,Sounders,"He came, and with him Eve more loth, tho' first To offend, discount'nanc'd both and discompos'ed","1 print: engraving ; image 170 x 112 mm., on sheet 249 x 156 mm",1795-07-01,Printed for J. Parsons,21 Pasternoster Row,51.5147,-0.09831,PR 3560.1796,F77
item71,Book X L 449,image/jpeg,PR35601796F88.jpg,,Corbould,,White,"At least, as from a cloud his 'fulgent head And shape, star-bright appear'd","1 print: engraving ; image 167 x 110mm., on sheet 249 x 156 mm",1795-05-01,Printed for J. Parsons,21 Pasternoster Row,51.5147,-0.09831,PR 3560.1796,F88
item72,Book III L. 681,image/jpeg,PR35601796F96.jpg,,,Singleton,Sounders,So spake the false disembler unperceiv'd,"1 print: engraving ; image 170 x 112 mm., on sheet 249 x 156 mm",1796-01-01,Printed for J. Parsons,21 Pasternoster Row,51.5147,-0.09831,PR 3560.1796,F96
item73,Book IV Line 460,image/jpeg,PR35601796F117.jpg,Eve,Corbould,,White,"As I bent down to look, just opposite, A Shape within the watry Gleem appeard, Bending to look on me.","1 print: engraving ; image 167 x 110 mm., on sheet 249 x 156 mm",1796-01-01,Printed for J. Parsons,21 Pasternoster Row,51.5147,-0.09831,PR 3560.1796,F117
item74,Book XI L 260,image/jpeg,PR35601796F124.jpg,Eve; Adam; Arch-Angel,,Singleton,Sounders,"To remove thee I am come, And send thee from the Garden forth, to till The ground whence though was taken, fitter soil","1 print: engraving ; image 162 x 107 mm., on sheet 249 x 156 mm",1795-11-14,Printed for J. Parsons,21 Pasternoster Row,51.5147,-0.09831,PR 3560.1796,F124
item75,Book V Line 144,image/jpeg,PR35601796F144.jpg,Adam; Eve,Corbould,,Heath,"Lowly they bow'd adoring, an began Their Orisons, each Morning duly paid In Various style","1 print: engraving ; image 167 x 111 mm., on sheet 249 x 156 mm",1794-12-01,Printed for J. Parsons,21 Pasternoster Row,51.5147,-0.09831,PR 3560.1796,F144
item76,Book VI L 535,image/jpeg,PR35601796F191.jpg,Lophiel; Cherubim,Corbould,,Sounders,"Lophiel, of Cherubim the swifest wing, Came, flying, & in mid-air aloud thus cried.","1 print: engraving ; image 164 x 110 mm., on sheet 249 x 156 mm",1795-10-01,Printed for J. Parsons,21 Pasternoster Row,51.5147,-0.09831,PR 3560.1796,F191
item77,Book VII L 50,image/jpeg,PR35601796F209.jpg,Adam; Eve,Corbould,,Heath,"He with this confronted Eve, The story heard attentive.","1 print: engraving ; image 169 x 111 mm., on sheet 249 x 156 mm",1795-02-01,Printed for J. Parsons,21 Pasternoster Row,51.5147,-0.09831,PR 3560.1796,F209
item78,Book 1 Line 314,image/jpeg,PR35601827V1F15.jpg,,,,J. Martin Esqr,,"1 print: engraving ; image 192 x 150 mm., on sheet 261 x 181 mm",1824,London Published By Septimus Prowett,23 Old Bond Street,51.50958,-0.14119,ARCSPO PR 3560 1827 V.1,F15
item79,Book 1 Line 710,image/jpeg,PR35601827V1F30.jpg,,,,J. Martin Esqr,,"1 print: engraving ; image 206 x 140 mm., on sheet 261 x 181 mm",1824,London Published By Septimus Prowett,23 Old Bond Street,51.50958,-0.14119,ARCSPO PR 3560 1827 V.1,F30
item80,Book 2 Line 1,image/jpeg,PR35601827V1F37.jpg,,,,J. Martin Esqr,,"1 print: engraving ; image 206 x 143 mm., on sheet 261 x 181 mm",1824,London Published By Septimus Prowett,23 Old Bond Street,51.50958,-0.14119,ARCSPO PR 3560 1827 V.1,F37
item81,"Book I., line 331.",image/jpeg,PR35601832F10.jpg,Angels,Gustave Dore,,Hotelin,"They heard, and were abashed, and up they sprung.","1 print: engraving ; image 250 x 200 mm., on sheet 321 x 255 mm",1866,"Printed by Cassell and company, limited","La Bell Sauvage, London, E.C.",51.51416,-0.10251,PR3560 1832,F10/3
item82,"Book I., lines 344, 345.",image/jpeg,PR35601832F13.jpg,Angels,Gustave Dore,,A. Gusmand,"So numberless were those bad Angels seen Hovering on wing, under the cope of Hell.","1 print: engraving ; image 250 x 199 mm., on sheet 321 x 255 mm",1866,"Printed by Cassell and company, limited","La Bell Sauvage, London, E.C.",51.51416,-0.10251,PR3560 1832,F13/4
item83,"Book I., lines 757-759.",image/jpeg,PR35601832F24.jpg,,Gustave Dore,,S. Pannemaker,"Their summons called From ever band and squared regiment, By place or choice the worthiest.","1 print: engraving ; image 248 x 200 mm., on sheet 321 x 255 mm",1866,"Printed by Cassell and company, limited","La Bell Sauvage, London, E.C.",51.51416,-0.10251,PR3560 1832,F24/5
item84,"Book II., lines 1,2.",image/jpeg,PR35601832F26.jpg,,Gustave Dore,,Pannemaker; Doms,"High on a throne of royal state, which far Outshone the wealth of Ormus and of Ind.","1 print: engraving ; image 249 x 199 mm., on sheet 321 x 255 mm",1866,"Printed by Cassell and company, limited","La Bell Sauvage, London, E.C.",51.51416,-0.10251,PR3560 1832,F26/6
item85,"Book II., line 628.",image/jpeg,PR35601832F45.jpg,Gorgons; Hydras; Chimeras,Gustave Dore,,Pannemaker; Doms,"Gorgons, and Hydras, and Chimeras dire","1 print: engraving ; image 250 x 199 mm., on sheet 321 x 255 mm",1866,"Printed by Cassell and company, limited","La Bell Sauvage, London, E.C.",51.51416,-0.10251,PR3560 1832,F45/7
item86,"Book II., lines 648, 649.",image/jpeg,PR35601832F46.jpg,,Gustave Dore,,Pannemaker; Doms,Before the gates there sat On either side a formidable shape.,"1 print: engraving ; image 250 x 203 mm., on sheet 321 x 255 mm",1866,"Printed by Cassell and company, limited","La Bell Sauvage, London, E.C.",51.51416,-0.10251,PR3560 1832,F46/8
item87,"Book II., lines 949, 950.",image/jpeg,PR35601832F56.jpg,,Gustave Dore,,A. Gusmand,"With head, hands, wings, or feet, pursues his way, And swims, or sings, or wades, or creeps, or flies","1 print: engraving ; image 247 x 201 mm., on sheet 321 x 255 mm",1866,"Printed by Cassell and company, limited","La Bell Sauvage, London, E.C.",51.51416,-0.10251,PR3560 1832,F56/9
item88,"Book III., lines 347-349.",image/jpeg,PR35601832F71.jpg,,Gustave Dore,,Pannemaker; Doms,"Heaven rung With jubilee, and loud hosannas filled The eternal regions","1 print: engraving ; image 248 x 200 mm., on sheet 321 x 255 mm",1866,"Printed by Cassell and company, limited","La Bell Sauvage, London, E.C.",51.51416,-0.10251,PR3560 1832,F71/10
item89,"Book III., lines 473, 474.",image/jpeg,PR35601832F74.jpg,,Gustave Dore,,Hotelin,"And many more too lond, Embryos, and idiots, eremites, and friars.","1 print: engraving ; image 249 x203 mm., on sheet 321 x 255 mm",1866,"Printed by Cassell and company, limited","La Bell Sauvage, London, E.C.",51.51416,-0.10251,PR3560 1832,F74/11
