objectid,title,format,filename,subjectcontents,subjectbibliographic,illustrator,painter,engraver,description,image_alt_text,extent,date,publisher,streetaddress,location,latitude,longitude,identifier,platenumber,rightsstatement,Additional Notes,
item13,Book I,image/jpeg,B303V1F75.jpg,Satan; Death; Sin, B303 V.1 Mitlon ARCSPE,,H. Fuseli R.A.,JasNeagle,,A personified Death and Sin fight with Satan,"1 print: engraving ; image 116 x 90 mm., on sheet 227 x 140 mm",1802-07-01,F.J. Du Roveray,,"London, UK",51.509865, -0.118092, B303 V.1 Mitlon ARCSPE,F75,(CC BY-NC-SA 4.0),,
item14,Book VI,image/jpeg,B303V1F125.jpg,Satan; God, B303 V.1 Mitlon ARCSPE,,H. Fuseli R.A.,C. Warren,,God-like figure watches an angel fall from the heavens,"1 print: engraving ; image 117 x 90 mm., on sheet 227 x 140 mm",1802-07-01,F.J. Du Roveray,,"London, UK",51.509865, -0.118092, B303 V.1 Mitlon ARCSPE,F125,(CC BY-NC-SA 4.0),,
item15,Book IV,image/jpeg,B303V1F165.jpg,Adam; Eve; Eden; Angels; Satan, B303 V.1 Mitlon ARCSPE,,H. Fuseli R.A.,A. Smith A.,,Two angels defend Adam and Eve from Lucifer,"1 print: engraving ; image 120 x 90 mm., on sheet 227 x 140 mm",1802-07-01,F.J. Du Roveray,,"London, UK",51.509865, -0.118092, B303 V.1 Mitlon ARCSPE,F165,(CC BY-NC-SA 4.0),,
item16,Book V,image/jpeg,B303V1F179.jpg,Adam; Eve; Eden, B303 V.1 Mitlon ARCSPE,W. Hamilton R.A.,,F. Bartolozzi R.A.,,Adam gazes upon a sleeping Eve,"1 print: engraving ; image 120 x 90 mm., on sheet 227 x 140 mm",1802-07-01,F.J. Du Roveray,,"London, UK",51.509865, -0.118092, B303 V.1 Mitlon ARCSPE,F179,(CC BY-NC-SA 4.0),,
item17,Book VI,image/jpeg,B303V1F262.jpg,God; Satan, B303 V.1 Mitlon ARCSPE,,H. Fuseli R.A.,C. Warren,,God watches as Lucifer falls ,"1 print: engraving ; image 117 x 90 mm., on sheet 227 x 140 mm",1802-07-01,F.J. Du Roveray,,"London, UK",51.509865, -0.118092, B303 V.1 Mitlon ARCSPE,F262,(CC BY-NC-SA 4.0),,
item18,Book VII,image/jpeg,B303V2F5.jpg,Adam; Eve; Angel; Eden,Mitlon B303 V.2 ARCSPE,W. Hamilton R.A.,,Jas. Fittler A.,,Angel sits down visits in the garden with Adam and Eve,"1 print: engraving ; image 114 x 86 mm., on sheet 227 x 140 mm",1802-07-01,F.J. Du Roveray,,"London, UK",51.509865, -0.118092,Mitlon B303 V.2 ARCSPE,F5,(CC BY-NC-SA 4.0),,
item19,Book VIII,image/jpeg,B303V2F56.jpg,Adam; Eve; Eden,Mitlon B303 V.2 ARCSPE,W. Hamilton R.A.,,F. Bartolozzi R.A.,,Eve is presented to Adam in the garden,"1 print: engraving ; image 117 x 89 mm., on sheet 227 x 140 mm",1802-07-01,F.J. Du Roveray,,"London, UK",51.509865, -0.118092,Mitlon B303 V.2 ARCSPE,F56,(CC BY-NC-SA 4.0),,
item20,Book IX,image/jpeg,B303V2F102.jpg,Eve; Serpent; Eden,Mitlon B303 V.2 ARCSPE,W. Hamilton R.A.,,F. Bartolozzi R.A.,,Eve picks an apple from a tree with a snake wrapped around it,"1 print: engraving ; image 115x 88 mm., on sheet 227 x 140 mm",1802-07-01,F.J. Du Roveray,,"London, UK",51.509865, -0.118092,Mitlon B303 V.2 ARCSPE,F102,(CC BY-NC-SA 4.0),,
item21,Book X,image/jpeg,B303V2F172.jpg,Adam; Eve; Eden,Mitlon B303 V.2 ARCSPE,W. Hamilton R.A.,,Jas. Fittler A.,,Adam and Eve kneel on the ground pleading with the heavens,"1 print: engraving ; image 114 x 86 mm., on sheet 227 x 140 mm",1802-07-01,F.J. Du Roveray,,"London, UK",51.509865, -0.118092,Mitlon B303 V.2 ARCSPE,F172,(CC BY-NC-SA 4.0),,
item22,Book XI,image/jpeg,B303V2F185.jpg,Adam; Eve; Angels; Eden,Mitlon B303 V.2 ARCSPE,W. Hamilton R.A.,,R. Rhodes,,Adam and Eve  look up at Heaven were an army looks back,"1 print: engraving ; image 114 x 88 mm., on sheet 227 x 140 mm",1802-07-01,F.J. Du Roveray,,"London, UK",51.509865, -0.118092,Mitlon B303 V.2 ARCSPE,F185,(CC BY-NC-SA 4.0),,
item23,Book XII,image/jpeg,B303V2F250.jpg,Adam; Eve; Angel; Eden,Mitlon B303 V.2 ARCSPE,,H. Fuseli R.A.,A. Smith A. ,,Adam holds Eve as an angel banishes them,"1 print: engraving ; image 119 x 91 mm., on sheet 227 x 140 mm",1802-07-01,F.J. Du Roveray,,"London, UK",51.509865, -0.118092,Mitlon B303 V.2 ARCSPE,F250,(CC BY-NC-SA 4.0),,
item24,Book I. L. 314-334,image/jpeg,C28F12.jpg,Satan; Legions,ARCSPE C28,,,William Blake,Satan Calling up His Legions ,Satan stands on a rock surrounded by his army,"1 print: engraving ; image 143x 120  mm., on sheet 251 x 190 mm",1906,The Liverpool Booksellers' Co.,,"Liverpool, UK",53.400002,-2.983333,ARCSPE C28,F12,(CC BY-NC-SA 4.0),Limited and Printed at the Lyceum Press,
item25,Book II. L. 648-676,image/jpeg,C28F54.jpg,Satan; Sin; Death; Hell ,ARCSPE C28,,,William Blake,"Satan, Sins, and Death at the Gates of Hell ",A personified Death and Sin fight with Satan at the gates of Hell,"1 print: engraving ; image 147x 120  mm., on sheet 251 x 190 mm",1906,The Liverpool Booksellers' Co.,,"Liverpool, UK",53.400003,-2.983333,ARCSPE C28,F54,(CC BY-NC-SA 4.0),Limited and Printed at the Lyceum Press,
item26,Book IV. L. 492-511,image/jpeg,C28F116.jpg,Satan; Adam; Eve; Serpent,ARCSPE C28,,,William Blake,Satan Watching the Endearments of Adam and Eve ,Satan observes Adam and Eve,"1 print: engraving ; image 152x 120  mm., on sheet 251 x 190 mm",1906,The Liverpool Booksellers' Co.,,"Liverpool, UK",53.400004,-2.983333,ARCSPE C28,F116,(CC BY-NC-SA 4.0),Limited and Printed at the Lyceum Press,
item27,Book V. L. 219-233,image/jpeg,C28F144.jpg,Raphael; Adam; Eve; Angels; Satan; Serpent,ARCSPE C28,,,William Blake,Descent of Raphael to Warn Adam of Satan's Entrance into Paradise ,"An angel descends into Adam and Eve's garden, Satan is present.","1 print: engraving ; image 151x 120  mm., on sheet 251 x 190 mm",1906,The Liverpool Booksellers' Co.,,"Liverpool, UK",53.400005,-2.983333,ARCSPE C28,F144,(CC BY-NC-SA 4.0),Limited and Printed at the Lyceum Press,
item28,Book V. L. 371-395,image/jpeg,C28F150.jpg,Raphael; Adam; Eve; Angel; Eden,ARCSPE C28,,,William Blake,Raphael Conversing with Adam and Eve ,Angel sits with Adam and Eve,"1 print: engraving ; image 151x 120  mm., on sheet 251 x 190 mm",1906,The Liverpool Booksellers' Co.,,"Liverpool, UK",53.400006,-2.983333,ARCSPE C28,F150,(CC BY-NC-SA 4.0),Limited and Printed at the Lyceum Press,
item29,Book VI. L. 824-877,image/jpeg,C28F200.jpg,God; Rebel Angels; Hell,ARCSPE C28,,,William Blake,God the Son Casting the Rebel Angels into Hell ,God shoots an arrow at falling angels,"1 print: engraving ; image 151x 120  mm., on sheet 251 x 190 mm",1906,The Liverpool Booksellers' Co.,,"Liverpool, UK",53.400007,-2.983333,ARCSPE C28,F200,(CC BY-NC-SA 4.0),Limited and Printed at the Lyceum Press,
item30,Book VIII. L. 470-477,image/jpeg,C28F246.jpg,Eve; God; Adam; Eden,ARCSPE C28,,,William Blake,The Creation of Eve ,God-like figure creating Eve,"1 print: engraving ; image 152x 120  mm., on sheet 251 x 190 mm",1906,The Liverpool Booksellers' Co.,,"Liverpool, UK",53.400008,-2.983333,ARCSPE C28,F246,(CC BY-NC-SA 4.0),Limited and Printed at the Lyceum Press,
item31,Book IX. L. 867-874,image/jpeg,C28F284.jpg,Eve; Forbidden Fruit; Adam; Eden; Serpent,ARCSPE C28,,,William Blake,Eve Eating the Forbidden Fruit ,Eve eats fruit from snake,"1 print: engraving ; image 149x 120  mm., on sheet 251 x 190 mm",1906,The Liverpool Booksellers' Co.,,"Liverpool, UK",53.400009,-2.983333,ARCSPE C28,F284,(CC BY-NC-SA 4.0),Limited and Printed at the Lyceum Press,
item32,Book X. L. 96-114,image/jpeg,C28F300.jpg,Adam; Eve; Death; Sin; God; Eden; Serpent,ARCSPE C28,,,William Blake,The Judgment of Adam and Eve ,God-like stands between Adam and Eve,"1 print: engraving ; image 152x 120  mm., on sheet 251 x 190 mm",1906,The Liverpool Booksellers' Co.,,"Liverpool, UK",53.40001,-2.983333,ARCSPE C28,F300,(CC BY-NC-SA 4.0),Limited and Printed at the Lyceum Press,
item33,Book XII. L. 411-431,image/jpeg,C28F388.jpg,Michael; Adam; Angel; Christ; Serpent; Death; Sin; Jesus; Cross; Crucifixion,ARCSPE C28,,,William Blake,Michael Foretelling the Crucifixion to Adam ,Angel points to Jesus on a cross,"1 print: engraving ; image 152x 120  mm., on sheet 251 x 190 mm",1906,The Liverpool Booksellers' Co.,,"Liverpool, UK",53.400011,-2.983333,ARCSPE C28,F388,(CC BY-NC-SA 4.0),Limited and Printed at the Lyceum Press,
item34,Book XII. L. 632-644,image/jpeg,C28F396.jpg,Michael; Adam; Eve; Serpent; Eden; Angels,ARCSPE C28,,,William Blake,Adam and Eve Led by Michael out of Paradise ,Angel leads Adam and Eve out of garden,"1 print: engraving ; image 151x 120  mm., on sheet 251 x 190 mm",1906,The Liverpool Booksellers' Co.,,"Liverpool, UK",53.400012,-2.983333,ARCSPE C28,F396,(CC BY-NC-SA 4.0),Limited and Printed at the Lyceum Press,
item35,Book VII. Opener,image/jpeg,C30V1F274.jpg,Raphael; Creation; Angels; Earth,ARCSPO C30 V1,Lud. Cheron,,Sam Gribelin Jun[ior],Raphael at the request of Adam relating how the earth was first created,Angels point down at earth,"1 print: engraving ; image 170x 90  mm., on sheet 296 x 230 mm",1720,Printed for Jacob Tonson at Shakespear's Head at the Strand,,"Strand, London",51.511227,-0.11947,ARCSPO C30 V1,F274,(CC BY-NC-SA 4.0),,
item36,Book VII. Closer,image/jpeg,C30V1F304.jpg,Angels; Creation,ARCSPO C30 V1,Lud. Cheron,,Sam Gribelin Jun[ior],Angels celebrating the creation of earth and reascending of Adam,Angels sit while playing instruments and singing,"1 print: engraving ; image 160x 113  mm., on sheet 296 x 230 mm",1720,Printed for Jacob Tonson at Shakespear's Head at the Strand,,"Strand, London",51.511227,-0.11947,ARCSPO C30 V1,F304,(CC BY-NC-SA 4.0),,"Notes upon the Twelve Books of Paradise Lost By Mr. Addison, printed in 1720"
item37,Book XI. Opener,image/jpeg,C30V1F454.jpg,Michael; Adam; Eve; Animals; War,ARCSPO C30 V1,Lud. Cheron,,G. Ver Gucht,"Michael leading Adam up to a high Hill, setting before him in vision what shall happen till the Flood",Angel talking to man,"1 print: engraving ; image 185x 90  mm., on sheet 296 x 230 mm",1720,Printed for Jacob Tonson at Shakespear's Head at the Strand,,"Strand, London",51.511227,-0.11947,ARCSPO C30 V1,F454,(CC BY-NC-SA 4.0),,
item38,Book XI. Closer,image/jpeg,C30V1F496.jpg,War; Animals,ARCSPO C30 V1,Lud. Cheron,,G. Ver Gucht,The whole earth filled with violence and all flesh corrupting each their way before the Flood,Animals fighting,"1 print: engraving ; image 145x 106  mm., on sheet 296 x 230 mm",1720,Printed for Jacob Tonson at Shakespear's Head at the Strand,,"Strand, London",51.511227,-0.11947,ARCSPO C30 V1,F496,(CC BY-NC-SA 4.0),,
item39,Book I. L. 315,image/jpeg,C55V1F6.jpg,Satan,Milton C55 Vol. 1,R. Westall R.A.,,F.P. Simon,"Princes, Potentates, Warriours, the flower of Heaven, once yours, now lost.",Angel stands with arm out stretched ,"1 print: engraving ; image 22H x 16 cm., on sheet 41.5H X 32.5W cm",1794-06-04,"J. and J. Boydel. and G. Nicol, Shakespeare Gallery ",Pall Mall; N.90 Cheapside,"London, UK",51.50663979,-0.134334458,Milton C55 Vol. 1,F5,(CC BY-NC-SA 4.0),J.andJ. Boydel is at Pall Mall and G. Nicol is at No. 90 Cheapside. The map coordinates point to the first location listed.,
item40,Book II. L. 752,image/jpeg,C55V1F37.jpg,Satan; Sin,Milton C55 Vol. 1,R. Westall R.A.,,F.P. Simon,"Then shining heavenly fair, a goddess arm'd, Out of thy head I sprung.",Sin personified leaves Satan's body,"1 print: engraving ; image 22.3 x 16 cm., on sheet 41.5H X 32.5W cm",1794-06-04,"J. and J. Boydel. and G. Nicol, Shakespeare Gallery ",Pall Mall; N. 90 Cheapside ,"London, UK",51.50663979,-0.134334458,Milton C55 Vol. 1,F37,(CC BY-NC-SA 4.0),J.andJ. Boydel is at Pall Mall and G. Nicol is at No. 90 Cheapside. The map coordinates point to the first location listed.,
item41,Book III. L. 260,image/jpeg,C55V1F77.jpg,Christ; Heaven; Angels,Milton C55 Vol. 1,R. Westall R.A.,,F.P. Simon,"Then, with the multitude of my redeem'd, Shall enter Heaven, long absent, and return…",Christ-like figure enters Heaven surrounded by angels,"1 print: engraving ; image 22.5 x 15.5 cm,on sheet 41.5H X 32.5W cm",1794-06-04,"J. and J. Boydel. and G. Nicol, Shakespeare Gallery ",Pall Mall; N. 90 Cheapside ,"London, UK",51.50663979,-0.134334458,Milton C55 Vol. 1,F77,(CC BY-NC-SA 4.0),J.andJ. Boydel is at Pall Mall and G. Nicol is at No. 90 Cheapside. The map coordinates point to the first location listed.,
item42,Book IV. L. 985,image/jpeg,C55V1F107.jpg,Satan,Milton C55 Vol. 1,R. Westall R.A.,,F.P. Simon,"On the other side, Satan alarm'd, Collecting all his might, dilated stood, Like Teneriffe, or Atlas, unremoved…",Angel stands with spear and shield in hand,"1 print: engraving ; image 22.3 x 16 cm., on sheet 41.5H X 32.5W cm",1794-06-04,"J. and J. Boydel. and G. Nicol, Shakespeare Gallery ",Pall Mall; N. 90 Cheapside,"London, UK",51.50663979,-0.134334458,Milton C55 Vol. 1,F107,(CC BY-NC-SA 4.0),J.andJ. Boydel is at Pall Mall and G. Nicol is at No. 90 Cheapside. The map coordinates point to the first location listed.,
item43,Book V. L. 11,image/jpeg,C55V1F147.jpg,Adam; Eve; Eden,Milton C55 Vol. 1,R. Westall R.A.,,R. Earlom ,"As through unquit rest. He on his side Leaning, half raised, with looks of cordial love…",Adam lays next to Eve,"1 print: engraving ; image 22x 15.5  cm., on sheet 41.5H X 32.5W cm",1794-06-04,"J. and J. Boydel. and G. Nicol, Shakespeare Gallery ",Pall Mall; N. 90 Cheapside,"London, UK",51.50663979,-0.134334458,Milton C55 Vol. 1,F147,(CC BY-NC-SA 4.0),J.andJ. Boydel is at Pall Mall and G. Nicol is at No. 90 Cheapside. The map coordinates point to the first location listed.,
item44,Book VI. L. 834,image/jpeg,C55V1F183.jpg,Angel,Milton C55 Vol. 1,R. Westall R.A.,,L. Schiavonelli,"Full soon Among them he arrived, in his right hand Grasping ten thousand thunders…",Angel hold lightening bolt,"1 print: engraving ; image 22.5 x 15.5 cm., on sheet 41.5H X 32.5W cm",1794-06-04,"J. and J. Boydel. and G. Nicol, Shakespeare Gallery ",Pall Mall; N. 90 Cheapside ,"London, UK",51.50663979,-0.134334458,Milton C55 Vol. 1,F183,(CC BY-NC-SA 4.0),J.andJ. Boydel is at Pall Mall and G. Nicol is at No. 90 Cheapside. The map coordinates point to the first location listed.,
item45,Book VII. L. 535,image/jpeg,C55V2F5.jpg,Raphael; Adam; Eve; Angel; Eden,Milton C55 Vol. 2,R. Westall R.A.,,Thos. Kirk,"Wherever thus created, for no place Is yet distinct by name. Thence, as thou know'st, He brought thee into this delicious grove…",Angel talks with Adam and Eve,"1 print: engraving ; image 22.5 x 15.5 cm,on sheet 41.5H X 32.5W cm",1795-06-04,"J. and J. Boydel. and G. Nicol, Shakespeare Gallery ",Pall Mall; N. 90 Cheapside,"London, UK",51.50663979,-0.134334458,Milton C55 Vol. 2,F5,(CC BY-NC-SA 4.0),J.andJ. Boydel is at Pall Mall and G. Nicol is at No. 90 Cheapside. The map coordinates point to the first location listed.,
item46,Book VIII. L. 44,image/jpeg,C55V2F31.jpg,Eve; Eden,Milton C55 Vol. 2,R. Westall R.A.,,Rich Earlom,"Rose, and went forth among her fruits and flowers, To visit how they prosper'd, bud and bloom, Her nursery…",Eve stands in the garden,"1 print: engraving ; image 22.5 x 15.5 cm,on sheet 41.5H X 32.5W cm",1795-06-04,"J. and J. Boydel. and G. Nicol, Shakespeare Gallery ",Pall Mall; N. 90 Cheapside,"London, UK",51.50663979,-0.134334458,Milton C55 Vol. 2,F31,(CC BY-NC-SA 4.0),J.andJ. Boydel is at Pall Mall and G. Nicol is at No. 90 Cheapside. The map coordinates point to the first location listed.,
item47,Book IX L. 888,image/jpeg,C55V2F59.jpg,Adam; Eve; Forbidden Fruit,Milton C55 Vol. 2,R. Westall R.A.,,Thos. Kirk,"On the other side, Adam, soon as he heard The fatal trespass done by Eve, amazed, Astonied stoodand blank, while horrour chill…",Eve hands Adam fruit,"1 print: engraving ; image 22.5 x 15.5 cm,on sheet 41.5H X 32.5W cm",1795-06-04,"J. and J. Boydel. and G. Nicol, Shakespeare Gallery ",Pall Mall; N. 90 Cheapside ,"London, UK",51.50663979,-0.134334458,Milton C55 Vol. 2,F59,(CC BY-NC-SA 4.0),J.andJ. Boydel is at Pall Mall and G. Nicol is at No. 90 Cheapside. The map coordinates point to the first location listed.,
item48,Book X. L. 272,image/jpeg,C55V2F103.jpg,Sin; Death,Milton C55 Vol. 2,R. Westall R.A.,,J. Ogborne,"So sayin with delight, he snuff'd the smell Of mortal change on earth.",Half-serpent human stands infront of a giant,"1 print: engraving ; image 23 x 16 cm,on sheet 41.5H X 32.5W cm",1795-06-04,"J. and J. Boydel. and G. Nicol, Shakespeare Gallery ",Pall Mall; N. 90 Cheapside ,"London, UK",51.50663979,-0.134334458,Milton C55 Vol. 2,F103,(CC BY-NC-SA 4.0),J.andJ. Boydel is at Pall Mall and G. Nicol is at No. 90 Cheapside. The map coordinates point to the first location listed.,
item49,Book XI L. 652,image/jpeg,C55V2F145.jpg,Adam; Michael; War,Milton C55 Vol. 2,R. Westall R.A.,,J. Ogborne,"With cruel tournement the squadrons join; Where cattle pastured late , now scatter'd lies With carcasses, and arms, the ensanguined field Deserted.",Angel shows kneeling man vision of war,"1 print: engraving ; image 22.5 x 16 cm,on sheet 41.5H X 32.5W cm",1795-06-04,"J. and J. Boydel. and G. Nicol, Shakespeare Gallery ",Pall Mall; N. 90 Cheapside ,"London, UK",51.50663979,-0.134334458,Milton C55 Vol. 2,F145,(CC BY-NC-SA 4.0),J.andJ. Boydel is at Pall Mall and G. Nicol is at No. 90 Cheapside. The map coordinates point to the first location listed.,
item50,Book XII. L. 640,image/jpeg,C55V2F181.jpg,Adam; Eve,Milton C55 Vol. 2,R. Westall R.A.,,B. Smith,"To the subject plain; then dissappear'd. They, looking back, all the eastern side beheld Of Paradise, so late their happy seat, waved over by that flaming brand…",Adam and Eve leave the garden,"1 print: engraving ; image 22 x 15.5 cm,on sheet 41.5H X 32.5W cm",1795-06-04,"J. and J. Boydel. and G. Nicol, Shakespeare Gallery ",Pall Mall; N. 90 Cheapside,"London, UK",51.50663979,-0.134334458,Milton C55 Vol. 2,F181,(CC BY-NC-SA 4.0),J.andJ. Boydel is at Pall Mall and G. Nicol is at No. 90 Cheapside. The map coordinates point to the first location listed.,
item51,Book IV. L. 560,image/jpeg,C55V2F265.jpg,Jesus; Satan,Milton C55 Vol. 2,R. Westall R.A.,,B. Smith,"To whom thus Jesus. Also it is written Thempt not the Lord thy God; he said and stood. But Satan, smitten with amzement, fell.",Christ-like figure watche angel fall from clouds,"1 print: engraving ; image 22 x 15.5 cm,on sheet 41.5H X 32.5W cm",1795-06-04,"J. and J. Boydel. and G. Nicol, Shakespeare Gallery ",Pall Mall; N. 90 Cheapside,"London, UK",51.50663979,-0.134334458,Milton C55 Vol. 2,F265,(CC BY-NC-SA 4.0),J.andJ. Boydel is at Pall Mall and G. Nicol is at No. 90 Cheapside. The map coordinates point to the first location listed.,
item52,Book VI,image/jpeg,PR3551.B841862F165.jpg,Rebel Angels; Angels,ARCSPE PR 3551.B84 1862,J.M.W. Turner R.A.,,E. Goodall,The Fall of the Rebel Angels,Angels fall from clouds,"1 print: engraving ; image 120 x 93  mm., on sheet 213 x 135 mm",1862,William Tegg,Pancras Lane,"London, UK",51.51331676,-0.091933245,ARCSPE PR 3551.B84 1862,F165,(CC BY-NC-SA 4.0),,
item53,Book VII. L. 7,image/jpeg,PR35601749F164.jpg,Satan; Legions,Milton PR 3560 1749 ARCSPE,,,I. Gwin,Of Old Olypmus dwell'ft; but Heavenly born,Angel shows Adam vision of war,"1 print: engraving ; image 170 x 91  mm., on sheet 179 x 108 mm",1749,Printed by George Grierson,King's Arms and Two Bibles in Essex-Street,"London, UK","53.34515846333967,",-6.265977042,Milton PR 3560 1749 ARCSPE,F164,(CC BY-NC-SA 4.0),Printer to the King's Most Excellent Majesty,
item54,Book XII. L. 12,image/jpeg,PR35601749F297.jpg,Adam; Eve; Angels; Eden,Milton PR 3560 1749 ARCSPE,,,[I. Gwin],"Thou therefore give due audience, and attend.",Adam and Eve leave the garden,"1 print: engraving ; image 166 x 86 mm., on sheet 179 x 108 mm",1749,"Printed by George Grierson, Printer to the King's Most Excellent Majesty",King's Arms and Two Bibles in Essex-Street,"London, UK","53.34515846333967,",-6.265977042,Milton PR 3560 1749 ARCSPE,F297,(CC BY-NC-SA 4.0),,
item55,Book I,image/jpeg,PR35601749bF2.jpg,Satan; legions; Hell,PR3560 1749b,F. Hayman,,S.F. Ravenet,,Satan points at angels,"1 print: engraving ; image 212x 172  mm., on sheet 281 x 220 mm",1749,Printed for J. and R. Tonson and S. Draper,Strand,"London, UK",51.509865, -0.118092,PR3560 1749b,F2,(CC BY-NC-SA 4.0),,
item56,Book II,image/jpeg,PR35601749bF78.jpg,Satan; Sin; Death,PR3560 1749b,F. Hayman,,C. Grignion,,A personified Death and Sin with Satan at Hell's gate,"1 print: engraving ; image 212x 170 mm., on sheet 281 x 220 mm",1749,Printed for J. and R. Tonson and S. Draper,Strand,"London, UK",51.509865, -0.118092,PR3560 1749b,F78,(CC BY-NC-SA 4.0),,
